bookID,title,authors,average_rating,isbn,language_code,# num_pages,ratings_count,text_reviews_count,prices
2405,My Moby Dick,William Humphrey,4.15,701124229,eng,96,12,1,59.5
2407,Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,3.84,919123708,eng,156,21,4,193.83
2409,Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean-Victor G. Ambrus-Herman Melville,3.85,019274156X,eng,102,6,0,193.2
2410,Moby Dick,Herman Melville,3.49,671463713,eng,248,2,1,125.37
2411,Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,252063023,eng,164,0,0,218.82
2412,"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,4.28,700607420,eng,400,16,1,159.7
2418,In the Heart of the Sea: The Epic True Story That Inspired Moby-Dick,Nathaniel Philbrick,4.16,6531202,eng,302,278,34,91.97
2423,Double Tap (Paul Madriani  #8),Steve Martini,3.91,515139734,en-US,401,2686,153,54.26
2430,The List,Steve Martini,3.96,515121495,eng,451,12329,135,119.27
2442,Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,4.23,61020613,eng,374,55253,1173,78.37
2443,The Innocents Abroad,Mark Twain,3.86,812967054,eng,560,8540,663,123.9
2445,Teaching English Abroad,Susan  Griffith,3.59,1854583522,eng,576,36,6,114.4
2452,Theocritus: Select Poems: Select Poems,Theocritus-Kenneth James Dover,3,862921473,grc,395,1,1,56.96
2473,The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod-Glenn W. Most,4.03,674996232,eng,434,33,1,206.36
2486,Death and the King's Horseman,Wole Soyinka-Simon Gikandi,3.76,393977617,en-US,254,249,29,174.52
2491,Learning to Love: Exploring Solitude and Freedom,Thomas Merton-Christine M. Bochen,4.5,60654856,eng,382,15,2,175.07
2493,The Time Machine,H.G. Wells-Greg Bear-Carlo Pagetti,3.88,451528557,eng,118,320900,6353,62.52
2494,The Time Machine,H.G. Wells-Patrick Parrinder-Steven McLean-Marina Warner,3.88,141439971,eng,104,2864,281,198.13
2495,The Time Machine,H.G. Wells-Cynthia Brantley Johnson-Benjamin Beard,3.88,743487737,eng,150,359,36,240.31
2498,The Time Machine Did It,John Swartzwelder,3.84,975579908,en-US,138,1448,164,252.3
2499,The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,3.49,157174102X,en-GB,275,56,5,96.5
2501,The Time Machine,H.G. Wells-Melvin Burgess,3.88,439436540,eng,123,263,31,230.55
2504,The Complete Short Stories,H.G. Wells-John R. Hammond,4.14,1842124021,eng,864,867,30,110.56
2506,Selected Stories,H.G. Wells-Ursula K. Le Guin,3.98,812970756,en-US,432,77,9,63.69
2508,Tono-Bungay,H.G. Wells-Edward Mendelson-Patrick Parrinder,3.42,141441119,eng,414,820,106,288.01
2519,The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,307264890,en-US,560,1323,113,132.21
2520,In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,4.35,824512596,en-US,120,7501,367,118.21
2521,Blood Done Sign My Name: A True Story,Timothy B. Tyson,4.15,1400083117,eng,368,2470,388,205.1
2526,Blindness,José Saramago-Giovanni Pontiero,4.11,156007754,eng,326,106162,7807,149.75
2527,The Gospel According to Jesus Christ,José Saramago-Giovanni Pontiero,4.28,156001411,eng,377,788,110,62.62
2528,All the Names,José Saramago-Margaret Jull Costa,3.89,156010593,eng,245,10634,715,211.21
2529,The Tale of the Unknown Island,José Saramago-Peter Sís-Margaret Jull Costa,3.89,156013037,eng,64,3138,233,56.1
2530,Baltasar and Blimunda,José Saramago-Giovanni Pontiero,3.91,156005204,eng,346,5950,272,63.17
2531,The Cave,José Saramago-Margaret Jull Costa,3.83,156028794,eng,307,7390,535,102.48
2535,The Stone Raft,José Saramago-Giovanni Pontiero,3.8,156004011,en-US,292,305,30,206.14
2536,The Year of the Death of Ricardo Reis,José Saramago-Giovanni Pontiero,4.03,1860465021,eng,384,3618,188,32.76
2538,El hombre duplicado,José Saramago-Pilar del Río,3.88,8466312803,spa,380,1106,89,153.45
2539,Ensayo sobre la lucidez,José Saramago-Pilar del Río,3.79,8466314741,spa,461,1544,105,37.83
2541,La caverna,José Saramago-Pilar del Río,3.83,846630679X,spa,441,742,65,247.28
2542,The History of the Siege of Lisbon,José Saramago-Giovanni Pontiero,3.8,156006243,eng,314,324,62,248.6
2543,Las intermitencias de la muerte,José Saramago-Pilar del Río,3.99,9587043642,spa,274,2425,257,86.72
2545,The Treasured Writings of Kahlil Gibran,Kahlil Gibran,4.42,089009389X,eng,902,1407,45,212.43
2551,On the Road,Jack Kerouac,3.63,143036386,eng,320,480,39,164.51
2552,On the Road,Jack Kerouac-Ann Charters,3.63,141182679,eng,281,5218,460,98.19
2557,De Kooning: An American Master,Mark Stevens-Annalyn Swan,4.11,375711163,eng,732,2664,104,182.78
2560,Willem de Kooning: Late Paintings,Julie Sylvester-David Sylvester,5,382960226X,eng,83,1,0,238.67
2567,Aké: The Years of Childhood,Wole Soyinka,3.92,679725407,eng,230,1213,85,37.78
2568,The Interpreters,Wole Soyinka,3.56,233989781,eng,251,320,26,142.18
